
DEBUG - 2014-12-05 11:40:03.234; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCache$Bytes from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.234; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCacheImpl$3 from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.235; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCache$Ints from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.235; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCacheImpl$5 from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.236; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCache$Floats from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.236; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCacheImpl$6 from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.237; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCache$Doubles from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.237; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCacheImpl$8 from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.238; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCache$Longs from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.238; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCacheImpl$7 from WebAppClassLoader=1155033168@44d86850
