DEBUG - 2014-12-04 17:50:38.988; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "84[\r][\n]"
DEBUG - 2014-12-04 17:50:38.988; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:86);  >> "[0x2][0xc3][0xe0]&params[0xa2][0xe0].update.distrib(TOLEADER[0xe0],distrib.from?[0xe]http://192.168.196.141:8985/solr/collection1/[0xe0]&delByQ[0x81]2id:F8V7067-APL-KIT[0xe0]$docs[0x0]"
DEBUG - 2014-12-04 17:50:38.988; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:86);  >> "[0x2][0xc3][0xe0]&params[0xa2][0xe0].update.distrib(TOLEADER[0xe0],distrib.from?[0xe]http://192.168.196.141:8985/solr/collection1/[0xe0]&delByQ[0x81]2id:F8V7067-APL-KIT[0xe0]$docs[0x0]"
DEBUG - 2014-12-04 17:50:38.988; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "[\r][\n]"
DEBUG - 2014-12-04 17:50:38.988; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "[\r][\n]"
DEBUG - 2014-12-04 17:50:38.988; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "0[\r][\n]"
DEBUG - 2014-12-04 17:50:38.988; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "[\r][\n]"
DEBUG - 2014-12-04 17:50:38.988; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "0[\r][\n]"
DEBUG - 2014-12-04 17:50:38.989; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "[\r][\n]"
DEBUG - 2014-12-04 17:50:39.030; [qtp524450165-17] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 552/552
DEBUG - 2014-12-04 17:50:39.031; [qtp524450165-17 - /solr/collection1/update?_version_=-1486552185166626816&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.Server.handle(Server.java:363); REQUEST /solr/collection1/update on BlockingHttpConnection@51698ab9,g=HttpGenerator{s=0,h=-1,b=-1,c=-1},p=HttpParser{s=6,l=10,c=-2},r=1
DEBUG - 2014-12-04 17:50:39.031; [qtp524450165-17 - /solr/collection1/update?_version_=-1486552185166626816&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:931); scope null||/solr/collection1/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/webapps/solr.war
DEBUG - 2014-12-04 17:50:39.031; [qtp524450165-17 - /solr/collection1/update?_version_=-1486552185166626816&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1003); context=/solr||/collection1/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/webapps/solr.war
DEBUG - 2014-12-04 17:50:39.031; [qtp524450165-17 - /solr/collection1/update?_version_=-1486552185166626816&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:187); sessionManager=org.eclipse.jetty.server.session.HashSessionManager@79dea16c
DEBUG - 2014-12-04 17:50:39.031; [qtp524450165-17 - /solr/collection1/update?_version_=-1486552185166626816&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:188); session=null
