INFO  - 2014-07-23 11:01:34.262; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
DEBUG - 2014-07-23 11:01:34.437; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.BlockTreeTermsReader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.439; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsBaseFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.440; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene41.Lucene41PostingsBaseFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.441; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene41.Lucene41PostingsWriter from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.442; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene41.Lucene41PostingsReader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.443; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.simpletext.SimpleTextPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.444; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.simpletext.SimpleTextFieldsWriter from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.446; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.simpletext.SimpleTextFieldsReader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.448; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.MemoryPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.453; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.MemoryPostingsFormat$1 from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.458; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.SortedMap
DEBUG - 2014-07-23 11:01:34.459; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.SortedMap from null
DEBUG - 2014-07-23 11:01:34.463; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.MemoryPostingsFormat$2 from WebAppClassLoader=1598675078@5f49d886
