INFO  - 2014-07-23 13:12:24.397; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx/collection1/
INFO  - 2014-07-23 13:12:24.405; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-07-23 13:12:24.415; org.apache.solr.cloud.ZkController; publishing core=collection1 state=down collection=collection1
INFO  - 2014-07-23 13:12:24.418; org.apache.solr.cloud.ZkController; numShards not found on descriptor - reading it from system property
INFO  - 2014-07-23 13:12:24.426; org.apache.solr.cloud.DistributedQueue$LatchChildWatcher; LatchChildWatcher fired on path: /overseer/queue state: SyncConnected type NodeChildrenChanged
INFO  - 2014-07-23 13:12:24.427; org.apache.solr.cloud.ZkController; look for our core node name
INFO  - 2014-07-23 13:12:24.428; org.apache.solr.cloud.ZkController; waiting to find shard id in clusterstate for collection1
INFO  - 2014-07-23 13:12:24.428; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx/collection1
INFO  - 2014-07-23 13:12:24.431; org.apache.solr.cloud.ZkController; Check for collection zkNode:collection1
INFO  - 2014-07-23 13:12:24.432; org.apache.solr.common.cloud.ZkStateReader; Updating cloud state from ZooKeeper...
INFO  - 2014-07-23 13:12:24.434; org.apache.solr.cloud.ZkController; Collection zkNode exists
INFO  - 2014-07-23 13:12:24.435; org.apache.solr.common.cloud.ZkStateReader; Load collection config from:/collections/collection1
INFO  - 2014-07-23 13:12:24.436; org.apache.solr.cloud.Overseer$ClusterStateUpdater; Update state numShards=null message={
  "operation":"state",
  "state":"down",
  "base_url":"http://127.0.1.1:7804/solr",
  "core":"collection1",
  "roles":null,
  "node_name":"127.0.1.1:7804_solr",
  "shard":null,
  "collection":"collection1",
  "numShards":null,
  "core_node_name":null}
INFO  - 2014-07-23 13:12:24.436; org.apache.solr.cloud.Overseer$ClusterStateUpdater; node=core_node1 is already registered
INFO  - 2014-07-23 13:12:24.436; org.apache.solr.cloud.Overseer$ClusterStateUpdater; shard=shard1 is already registered
INFO  - 2014-07-23 13:12:24.442; org.apache.solr.common.cloud.ZkStateReader; path=/collections/collection1 configName=myconf specified config exists in ZooKeeper
INFO  - 2014-07-23 13:12:24.443; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx/collection1/'
INFO  - 2014-07-23 13:12:24.456; org.apache.solr.cloud.DistributedQueue$LatchChildWatcher; LatchChildWatcher fired on path: /overseer/queue state: SyncConnected type NodeChildrenChanged
INFO  - 2014-07-23 13:12:24.471; org.apache.solr.common.cloud.ZkStateReader$2; A cluster state change: WatchedEvent state:SyncConnected type:NodeDataChanged path:/clusterstate.json, has occurred - updating... (live nodes size: 1)
INFO  - 2014-07-23 13:12:24.607; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-07-23 13:12:24.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-07-23 13:12:24.628; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-07-23 13:12:24.632; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/asm-3.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.637; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-07-23 13:12:24.642; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-07-23 13:12:24.644; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-07-23 13:12:24.646; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-07-23 13:12:24.649; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2014-07-23 13:12:24.652; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.655; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.658; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/icu4j-52.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.660; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-07-23 13:12:24.663; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-07-23 13:12:24.666; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.668; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-07-23 13:12:24.670; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-07-23 13:12:24.673; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-07-23 13:12:24.675; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.683; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2014-07-23 13:12:24.688; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2014-07-23 13:12:24.692; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2014-07-23 13:12:24.696; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2014-07-23 13:12:24.699; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-07-23 13:12:24.702; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.706; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2014-07-23 13:12:24.710; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2014-07-23 13:12:24.717; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
INFO  - 2014-07-23 13:12:24.723; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.727; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.730; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.733; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-07-23 13:12:24.735; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-07-23 13:12:24.738; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2014-07-23 13:12:24.752; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/dist/solr-cell-4.7.2.jar' to classloader
INFO  - 2014-07-23 13:12:24.778; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2014-07-23 13:12:24.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2014-07-23 13:12:24.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-07-23 13:12:24.785; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-07-23 13:12:24.788; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-07-23 13:12:24.791; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-07-23 13:12:24.794; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-07-23 13:12:24.797; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-07-23 13:12:24.809; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/dist/solr-clustering-4.7.2.jar' to classloader
INFO  - 2014-07-23 13:12:24.828; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-07-23 13:12:24.831; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-07-23 13:12:24.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/dist/solr-langid-4.7.2.jar' to classloader
INFO  - 2014-07-23 13:12:24.855; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-07-23 13:12:24.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-07-23 13:12:24.863; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-07-23 13:12:24.868; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-07-23 13:12:24.883; org.apache.solr.core.SolrResourceLoader; Adding 'file:/vagrant/projects/work/search-cloud/cloud/lib/7700-47/dist/solr-velocity-4.7.2.jar' to classloader
TRACE - 2014-07-23 13:12:25.166; org.apache.solr.core.Config; solrconfig.xml:luceneMatchVersion=[luceneMatchVersion: null]
DEBUG - 2014-07-23 13:12:25.167; org.apache.solr.core.Config; solrconfig.xml luceneMatchVersion=4.7
DEBUG - 2014-07-23 13:12:25.180; org.apache.solr.core.Config; solrconfig.xml missing optional indexDefaults
DEBUG - 2014-07-23 13:12:25.193; org.apache.solr.core.Config; solrconfig.xml missing optional mainIndex
TRACE - 2014-07-23 13:12:25.207; org.apache.solr.core.Config; solrconfig.xml:indexConfig=[indexConfig: null]
