INFO  - 2014-07-23 13:12:20.346; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
DEBUG - 2014-07-23 13:12:20.502; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.Enumeration
DEBUG - 2014-07-23 13:12:20.502; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.Enumeration from null
DEBUG - 2014-07-23 13:12:20.504; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.BufferedReader
DEBUG - 2014-07-23 13:12:20.505; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.BufferedReader from null
DEBUG - 2014-07-23 13:12:20.506; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.util.IOUtils from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.520; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.pulsing.PulsingPostingsFormat from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.520; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.pulsing.Pulsing41PostingsFormat from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.522; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsConsumer from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.523; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsWriterBase from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.525; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.pulsing.PulsingPostingsWriter from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.526; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.FieldsConsumer from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.527; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.BlockTreeTermsWriter from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.528; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsReaderBase from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.529; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.pulsing.PulsingPostingsReader from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.531; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.index.Fields from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.531; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.FieldsProducer from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.533; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.BlockTreeTermsReader from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.534; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsBaseFormat from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.536; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene41.Lucene41PostingsBaseFormat from WebAppClassLoader=1545595021@5c1fe88d
